ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
1,Integration of Communities into Process-Oriented Structures,"cooperative knowledge generation,knowledge  community,knowledge-intensive processes,process-oriented knowledge structures,Wiki",['H'],process-oriented structures,cooperative knowledge generation,process-oriented structures cooperative knowledge generation
3,Small Groups Learning Synchronously Online at the Workplace: The Interaction of Factors Determining Outcome and Acceptance,"professional training,workplace learning,computer-supported cooperative learning,quality assurance,empirical study",['H' 'J'],small groups learning synchronously online,computer-supported cooperative learning,small groups learning synchronously online computer-supported cooperative learning
4,Using Weblogs for Knowledge Sharing and Learning in Information Spaces,"Experience-based Information System,wiki,weblog,pedagogical information agent,information space,micro-didactical learning arrangement",['A' 'D' 'H' 'J' 'K'],knowledge sharing,micro-didactical learning arrangement,knowledge sharing micro-didactical learning arrangement
5,Modelling and Implementing Pre-built Information Spaces. Architecture and Methods for Process Oriented Knowledge Management,"modelling method,introduction method,context-awareness,information retrieval,ontology,collaborative filtering,business processes,knowledge management",['H' 'I' 'J'],implementing pre-built information spaces,modelling method,implementing pre-built information spaces modelling method
6,Tube Map Visualization: Evaluation of a Novel Knowledge Visualization Application for the Transfer of Knowledge in Long-Term Projects,"knowledge visualization,information  visualization,visual metaphor,storytelling,knowledge communication,project management",['H'],tube map visualization,knowledge visualization,tube map visualization knowledge visualization
7,Reconciling Knowledge Management and Workflow Management Systems: The Activity-Based Knowledge Management Approach,"workflow,knowledge management",['H'],activity-based knowledge management approach,knowledge management,activity-based knowledge management approach knowledge management
8,"A Methodology and a Toolkit that Integrate Technological, Organisational, and Human Factors to Design KM within Knowledge-Intensive Networks","knowledge management,knowledge networks,inter-organizational networked businesses,collaborative, networks",['C' 'I'],integrate technological,inter-organizational networked businesses,integrate technological inter-organizational networked businesses
9,"KMDL - Capturing, Analysing and Improving Knowledge-Intensive Business Processes","Process-oriented Knowledge Management,knowledge-intensive Business Processes,Knowledge Modeling Description Language,K-Modeler",['D' 'H' 'I'],improving knowledge-intensive business processes,knowledge modeling description language,improving knowledge-intensive business processes knowledge modeling description language
10,The Role of Knowledge Management Solutions in Enterprise Business Processes,"knowledge management,business process,enterprises,software tools,market research",['A' 'H'],knowledge management solutions,knowledge management,knowledge management solutions knowledge management
11,Modeling Knowledge Work for the Design of Knowledge Infrastructures,"activity theory,business process management,knowledge infrastructure,knowledge management instrument,knowledge stance,knowledge work,modeling,process",['H'],modeling knowledge work,knowledge management instrument,modeling knowledge work knowledge management instrument
13,A Knowledge Infrastructure Hierarchy Model for Call-Centre Processes,"knowledge management,information systems,data bases",['H'],knowledge infrastructure hierarchy model,knowledge management,knowledge infrastructure hierarchy model knowledge management
14,Process Oriented Knowledge Management: A Service Based Approach,"knowledge management service,knowledge management process",['H'],process oriented knowledge management,knowledge management service,process oriented knowledge management knowledge management service
15,Formal Construction of a Non-blocking Concurrent Queue Algorithm,"atomicity,concurrency,refinement,formal proof,prover",['D'],non-blocking concurrent queue algorithm,formal proof,non-blocking concurrent queue algorithm formal proof
17,Investigating Atomicity and Observability,"observability,refinement of atomicity,formal development method",['F'],investigating atomicity,formal development method,investigating atomicity formal development method
18,Relaxing Atomicity and Verifying Correctness: Considering the Case of an Asynchronous Communication Mechanism,"asynchronous communication,process algebra,relaxation of atomicity,verification",['F'],asynchronous communication mechanism,asynchronous communication,asynchronous communication mechanism asynchronous communication
19,Precise Modelling of Compensating Business Transactions and its Application to BPEL,"long-runn,ing transactions,compensation,language semantics,formal specification,B method",['D' 'F' 'H'],compensating business transactions,ing transactions,compensating business transactions ing transactions
20,Replication: Understanding the Advantage of Atomic Broadcast over Quorum Systems,"atomic broadcast,quorum systems,replication,isolation",['C' 'D'],atomic broadcast,atomic broadcast,atomic broadcast atomic broadcast
21,The Atomic Manifesto,"atomicity,transactions,dependability,formal methods,hardware,programming languages",['A'],atomic manifesto,formal methods,atomic manifesto formal methods
22,On Atomicity and Software Development,"atomicity,software development,concurrency,UML,OCL,transactions,monitors",['D'],software development,software development,software development software development
23,Atomicity as a First-Class System Provision,"atomicity,transactions,transactional memory,cache coherence",['C'],first-class system provision,transactional memory,first-class system provision transactional memory
24,Semi-Automatic Visual Subgroup Mining using VIKAMINE,"subgroup mining,visualization,data analysis,data mining",['H' 'I'],semi-automatic visual subgroup mining,subgroup mining,semi-automatic visual subgroup mining subgroup mining
