ID,Title,Keywords,FirstLevel,titleCleanedLem,keywordCleanedLem,titleCleanedStem,keywordCleanedStem,titleRelevantLem,keywordRelevantLem
1,Integration of Communities into Process-Oriented Structures,"cooperative knowledge generation,knowledge  community,knowledge-intensive processes,process-oriented knowledge structures,Wiki",['H'],integration community process-oriented structure,generation community cooperative process-oriented knowledge wiki knowledge-intensive structure process,process-ori commun structur integr,knowledg knowledge-intens gener wiki process-ori commun structur process cooper,integration community structure,generation community cooperative knowledge wiki structure process
3,Small Groups Learning Synchronously Online at the Workplace: The Interaction of Factors Determining Outcome and Acceptance,"professional training,workplace learning,computer-supported cooperative learning,quality assurance,empirical study",['H' 'J'],outcome synchronously interaction small learning workplace determining factor online acceptance group,cooperative learning workplace computer-supported training assurance study empirical professional quality,outcom interact small factor synchron learn onlin accept workplac determin group,assur profession studi empir learn train computer-support qualiti workplac cooper,outcome synchronously interaction small learning workplace determining factor online acceptance group,cooperative learning workplace training assurance study empirical professional quality
4,Using Weblogs for Knowledge Sharing and Learning in Information Spaces,"Experience-based Information System,wiki,weblog,pedagogical information agent,information space,micro-didactical learning arrangement",['A' 'D' 'H' 'J' 'K'],weblogs sharing learning knowledge space using information,information system agent learning experience-based weblog pedagogical space wiki micro-didactical arrangement,knowledg share learn weblog space use inform,experience-bas system agent pedagog arrang learn weblog micro-didact space wiki inform,weblogs sharing learning knowledge space using information,information system agent learning weblog pedagogical space wiki arrangement
5,Modelling and Implementing Pre-built Information Spaces. Architecture and Methods for Process Oriented Knowledge Management,"modelling method,introduction method,context-awareness,information retrieval,ontology,collaborative filtering,business processes,knowledge management",['H' 'I' 'J'],management oriented pre-built implementing method modelling knowledge space architecture information process,filtering collaborative management business method introduction modelling context-awareness knowledge ontology information process retrieval,manag knowledg architectur pre-built implement method space orient inform process model,manag filter knowledg inform collabor method introduct retriev ontolog context-awar busi process model,management oriented implementing method modelling knowledge space architecture information process,filtering collaborative management business method introduction modelling knowledge ontology information process retrieval
6,Tube Map Visualization: Evaluation of a Novel Knowledge Visualization Application for the Transfer of Knowledge in Long-Term Projects,"knowledge visualization,information  visualization,visual metaphor,storytelling,knowledge communication,project management",['H'],novel visualization transfer project map evaluation knowledge long-term application tube,communication visualization visual storytelling management metaphor project knowledge information,novel evalu visual transfer knowledg project map long-term applic tube,manag visual knowledg inform metaphor project commun storytel,novel visualization transfer project map evaluation knowledge application tube,communication visualization visual storytelling management metaphor project knowledge information
7,Reconciling Knowledge Management and Workflow Management Systems: The Activity-Based Knowledge Management Approach,"workflow,knowledge management",['H'],activity-based management system knowledge reconciling approach workflow,knowledge management workflow,manag knowledg activity-bas system reconcil approach workflow,manag knowledg workflow,management system knowledge reconciling approach workflow,knowledge management workflow
8,"A Methodology and a Toolkit that Integrate Technological, Organisational, and Human Factors to Design KM within Knowledge-Intensive Networks","knowledge management,knowledge networks,inter-organizational networked businesses,collaborative, networks",['C' 'I'],human toolkit technological design methodology network factor integrate km knowledge-intensive organisational within,networked inter-organizational collaborative management business network knowledge,human toolkit knowledge-intens organis design network factor methodolog km technolog integr within,manag knowledg inter-organiz network collabor busi,human toolkit technological design methodology network factor integrate km organisational within,networked collaborative management business network knowledge
9,"KMDL - Capturing, Analysing and Improving Knowledge-Intensive Business Processes","Process-oriented Knowledge Management,knowledge-intensive Business Processes,Knowledge Modeling Description Language,K-Modeler",['D' 'H' 'I'],analysing business capturing kmdl knowledge-intensive improving process,management process-oriented business knowledge knowledge-intensive modeling description language k-modeler process,knowledge-intens process kmdl improv analys busi captur,manag knowledg knowledge-intens descript k-model languag process-ori busi process model,analysing business capturing kmdl improving process,management business knowledge modeling description language process
10,The Role of Knowledge Management Solutions in Enterprise Business Processes,"knowledge management,business process,enterprises,software tools,market research",['A' 'H'],management solution business knowledge role enterprise process,research market management business knowledge software tool enterprise process,knowledg manag enterpris role solut busi process,knowledg manag research market enterpris tool softwar busi process,management solution business knowledge role enterprise process,research market management business knowledge software tool enterprise process
11,Modeling Knowledge Work for the Design of Knowledge Infrastructures,"activity theory,business process management,knowledge infrastructure,knowledge management instrument,knowledge stance,knowledge work,modeling,process",['H'],design knowledge modeling work infrastructure,activity management business stance instrument knowledge theory modeling work infrastructure process,knowledg design work infrastructur model,manag knowledg theori busi instrument activ work infrastructur stanc process model,design knowledge modeling work infrastructure,activity management business stance instrument knowledge theory modeling work infrastructure process
